,lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
0,"It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care baby by the way

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

Here come bad news talking this and that (yeah)
Give me all you got, don't hold back (yeah)
Well I should probably warn you I'll be just fine (yeah)
No offense to you don't waste your time
Here's why

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

(Happy) bring me down, can't nothin'
(Happy) bring me down, your love is too high
(Happy) to bring me down, can't nothin'
(Happy) bring me down, I said tell you now

(Happy) bring me down, can't nothin'
(Happy) bring me down, your love is too high
(Happy) to bring me down, can't nothin'
(Happy) bring me down, I said

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I’m happy
Clap along if you know what happiness is to you
Because I’m happy
Clap along if you feel like that's what you wanna do

(Happy) bring me down, can't nothin'
(Happy) bring me down, your love is too high
(Happy) to bring me down, can't nothin'
(Happy) bring me down, I said

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you, eh eh eh
Because I'm happy
Clap along if you feel like that's what you want to do

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you, hey
Because I'm happy
Clap along if you feel like that's what you wanna do","['contemporary r&b', 'hip hop', 'pop rap', 'pop soul']",616.5,1,2014,4.800000000000002,89.75,493,68,"{'neg': 0.022, 'neu': 0.634, 'pos': 0.34400000000000003, 'compound': 0.9996}",Happy,2.5,Pharrell Williams,11,61
1,"Juicy J
Yeah, y'all know what it is
Katy Perry
Juicy J
Uh huh, let's rave

Katy Perry
I knew you were
You were gonna come to me
And here you are
But you better choose carefully

'Cause I
I'm capable of anything
Of anything
And everything

Make me your Aphrodite
Make me your one and only
But don't make me your enemy
Your enemy
Your enemy

So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm comin' atcha like a dark horse

(Hey) Are you ready for, ready for
(Hey) A perfect storm, perfect storm
(Hey, hey) 'Cause once you're mine, once you're mine
(Hey, hey, hey, hey, hey) There's no going back

Hey, hey, hey, hey
Hey, hey, hey

Mark my words
This love will make you levitate
Like a bird
Like a bird without a cage

But down to earth
If you choose to walk away
Don't walk away

It's in the palm of your hand now, baby
It's a yes or a no, no maybe
So just be sure
Before you give it all to me
All to me
Give it all to me

So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm comin' atcha like a dark horse

(Hey) Are you ready for, ready for
(Hey) A perfect storm, perfect storm
(Hey, hey) 'Cause once you're mine, once you're mine
(Hey, hey, hey, hey, hey) There's no going back

Juicy J
She's a beast
I call her Karma
She'll eat your heart out
Like Jeffrey Dahmer

Be careful
Try not to lead her on
Shorty heart is on steroids
'Cause her love is so strong

You may fall in love when you meet her
If you get the chance, you better keep her
She's sweet as pie but if you break her heart
She'll turn cold as a freezer

That fairy tale ending
With a knight in shining armor
She can be my Sleeping Beauty
I'm gon' put her in a coma

Now I think I love her
Shorty so bad, sprung and I don't care
She ride me like a roller coaster
Turned the bedroom into a fair

Her love is like a drug
I was tryna hit it and quit it
But li'l mama's so dope
I messed around and got addicted

Katy Perry
So you wanna play with magic?
Boy, you should know what you're fallin' for (you should know)
Baby, do you dare to do this?
'Cause I'm comin' atcha like a dark horse (like a dark horse)

(Hey) Are you ready for, ready for (ready for)
(Hey) A perfect storm, perfect storm (a perfect storm)
(Hey, hey) 'Cause once you're mine, once you're mine (oh)
(Hey, hey, hey, hey, hey) There's no going back","['""ur so fail""', 'american', 'américain', 'bubblegum', 'california gurls', 'cute', 'dance-pop', 'electropop', 'fail', 'failfail', 'her expression is like shes thinking something dumb', 'house', 'katy perry', 'lame', 'lolol trap?', 'megafail', 'multiple ipi', 'nope still fail', 'pop', 'pop rock', 'still fail', 'trap', 'united states', 'ur so faaaail', 'ur so fail', 'usa']",593.1,2,2014,4.4,99.23,481,72,"{'neg': 0.054, 'neu': 0.737, 'pos': 0.209, 'compound': 0.9973000000000001}",Dark Horse,0.9,Katy Perry,42,34
2,"What would I do without your smart mouth
Drawing me in and you kicking me out?
Got my head spinning, no kidding
I can't pin you down

What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's underwater
But I'm breathing fine
You're crazy and I'm outta my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll gives my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh

How many times do I have to tell you
Even when you're crying, you're beautiful too?
The world is beating you down
I'm around through every mood

You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing
This ringing in my head for you

My head's underwater
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all, all of you

Cards on the table
We're both showing hearts
Risking it all though it's hard

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh
I give you all of me, yeah
And you give me all of you, oh","['american', 'américain', 'soul', 'soul and reggae', 'usa']",403.2,3,2014,4.4,99.23,333,51,"{'neg': 0.093, 'neu': 0.741, 'pos': 0.166, 'compound': 0.985}",All Of Me,0.9,John Legend,28,28
3,"Iggy
First things first, I'm the realest (realest)
Drop this and let the whole world feel it (let 'em feel it)
And I'm still in the Murda Bizness
I can hold you down like I'm givin' lessons in physics (right, right)

You should want a bad bitch like this (ha)
Drop it low and pick it up just like this (yeah)
Cup of Ace, cup of Goose, cup of Cris
High heels, somethin' worth a half a ticket on my wrist (on my wrist)

Takin' all the liquor straight, never chase that (never)
Rooftop like we bringin' '88 back (What?)
Bring the hooks in, where the bass at?
Champagne spillin', you should taste that

Charli
I'm so fancy, you already know
I'm in the fast lane from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow

Iggy
I said baby, I do this, I thought that you knew this
Can't stand no haters and honest, the truth is
And my flow retarded, they speak it, depart it
Swagger on super, I can't shop at no department

Better get my money on time, if they not money, decline
And swear I meant that there so much that they give that line a rewind
So get my money on time, if they not money, decline
I just can't worry 'bout no haters, gotta stay on my grind

Now tell me, who that, who that? That do that, do that?
Put that paper over all, I thought you knew that, knew that
I be that I-G-G-Y, put my name in bold
I been working, I'm up in here with some change to throw

Charli
I'm so fancy, you already know
I'm in the fast lane from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow

Trash the hotel
Let's get drunk on the mini bar
Make the phone call
Feels so good getting what I want

Yeah, keep on turning it up
Chandelier swinging, we don't give a fuck
Film star, yeah I’m deluxe
Classic, expensive, you don't get to touch, ow!

Iggy
Still stunting, how you love that?
Got the whole world asking how I does that
Hot girl, hands off, don't touch that
Look at that I bet you wishing you could clutch that

That's just the way you like it, huh?
You're so good, he's just wishing he could bite it, huh?
Never turn down money
Slaying these hoes gold trigger on a gun like

Charli
I'm so fancy, you already know
I'm in the fast lane from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow

Iggy and Charli
Who that, who that? I-G-G-Y
That do that, do that? I-G-G-Y
Wow, who that, who that? I-G-G-Y
(Blow...)

Who that, who that? I-G-G-Y
That do that, do that? I-G-G-Y
Wow, who that, who that? I-G-G-Y
(Blow...)","['a filk artist', 'electropop', 'hip house', 'hyphy', 'pop rap', 'trap rap']",565.2,4,2014,5.2,97.2,490,60,"{'neg': 0.043000000000000003, 'neu': 0.801, 'pos': 0.156, 'compound': 0.9946}",Fancy,1.7000000000000002,Iggy Azalea,52,29
4,"Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be counting stars
Yeah, we'll be counting stars

I see this life like a swinging vine
Swing my heart across the line
In my face is flashing signs
Seek it out and ye shall find

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told

I feel something so right
Doing the wrong thing
I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be, we'll be counting stars

I feel the love, and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told

I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me want to fly

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be, we'll be counting stars

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Everything that kills me
Makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been prayin' hard
Said, no more counting dollars
We'll be, we'll be counting stars

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Take that money
Watch it burn
Sink in the river
The lessons I learnt

Take that money
Watch it burn
Sink in the river
The lessons I learnt","['folk pop', 'pop', 'pop rock', 'rock', 'rock and indie', 'united states']",620.1,5,2014,4.0,100.24,517,96,"{'neg': 0.147, 'neu': 0.8160000000000001, 'pos': 0.038, 'compound': -0.9953000000000001}",Counting Stars,0.5,OneRepublic,18,84
5,"Jason, ha ha
Jason Derulo

Jason Derulo
Get jazzy on it
I'm that flight that you get on, international
First class seat on my lap girl, riding comfortable
'Cause I know what the girls them need, New York to Haiti
I got lipstick stamps on my passport, you make it hard to leave

Been around the world don't speak the language
But your booty don't need explaining
All I really need to understand is when you
Talk dirty to me
Talk dirty to me
Talk dirty to me
Talk dirty to me
Get jazzy on it

You know the words to my songs, no habla ingles
Our conversations ain't long, but you know what is
I know what the girls them want, London to Taiwan
I got lipstick stamps on my passport, I think I need a new one

Been around the world, don't speak the language
But your booty don't need explaining
All I really need to understand is when you
Talk dirty to me
Talk dirty to me
Talk dirty to me
Talk dirty to me
Get jazzy on it

(Uno) Met your friend in Rio
(Dos) She was all on me yo
(Tres) We can ménage a three tho
(Quatro) Oh yeah

2 Chainz
Dos Cadenas, close to genius
Sold out arenas, you can suck my penis (ooh, damn)
Gilbert Arenas, guns on deck
Chest to chest, tongue on neck (neck)
International oral sex
Every picture I take I pose a threat
Bought a jet, what you expect?
Her pussy's so good, I bought her a pet (stop)
Anyway, every day I'm trying to get to it
Got it saved in my phone, under big booty
Anyway, every day I'm trying to get to it
Got it saved in my phone, under big booty

Jason Derulo
Been around the world, don't speak the language
But your booty don't need explaining
All I really need to understand is when you
Talk dirty to me (you you ah)
Talk dirty to me (yeah)
Talk dirty to me (talk to me)
Talk dirty to me (oh yeah, oh)
Get jazzy on it

What? I don't understand, ha ha","['contemporary r&b', 'dance', 'dance-pop', 'electropop', 'pop', 'r&b']",431.1,6,2014,4.800000000000002,98.21,358,51,"{'neg': 0.129, 'neu': 0.781, 'pos': 0.09, 'compound': -0.9403}",Talk Dirty,1.3,Jason Derulo,34,26
6,"Because you know I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

Yeah it's pretty clear, I ain't no size two
But I can shake it, shake it like I'm supposed to do
'Cause I got that boom boom that all the boys chase
All the right junk in all the right places

I see the magazines working that Photoshop
We know that shit ain't real, come on now, make it stop
If you got beauty beauty just raise 'em up
'Cause every inch of you is perfect from the bottom to the top

Yeah, my mama she told me don't worry about your size
She says, boys like a little more booty to hold at night
You know I won't be no stick figure silicone Barbie doll
So, if that's what's you're into then go ahead and move along

Because you know I'm all about that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, hey

I'm bringing booty back
Go ahead and tell them skinny bitches that
No, I'm just playing, I know you think you're fat
But I'm here to tell you
Every inch of you is perfect from the bottom to the top

Yeah, my mama she told me don't worry about your size
She says, boys like a little more booty to hold at night
You know I won't be no stick figure silicone Barbie doll
So, if that's what's you're into then go ahead and move along

Because you know I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

Because you know I'm all about that bass, 'bout that bass, no treble
Said I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

Because you know I'm all about that bass, 'bout that bass, no treble
Said I'm all about that bass, 'bout that bass, no treble
Oh, I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

'Bout that bass, 'bout that bass, hey hey
Hey, hey, ooh
You know you like this bass","['a filk artist', 'blue-eyed soul', 'dance-pop', 'doo-wop', 'female vocals', 'great songs', 'pop', 'pop rap', 'pop soul', 'top 40']",502.2,8,2014,6.0,103.63,440,44,"{'neg': 0.112, 'neu': 0.791, 'pos': 0.097, 'compound': -0.3156}",All About That Bass,1.3,Meghan Trainor,15,26
7,"Uh huh
It's Iggy Iggz!
I got one more problem with you, girl
Aye!

(One less, one less problem)
Hey baby, even though I hate ya
I wanna love ya (I want you)
And even though I can't forgive ya
I really want to (I want you)

Tell me, tell me baby
Why did you leave me?
'Cause even though I shouldn't want it
I gotta have it (I want you)

Head in the clouds
Got no weight on my shoulders
I should be wiser
And realize that I've got

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

I know you're never gonna wake up
I gotta give up (but it's you)
I know I shouldn't ever call back
Or let you come back (but it's you)

Every time you touch me
And say you love me
I get a little bit breathless
I shouldn't want it (but it's you)

Head in the clouds
Got no weight on my shoulders
I should be wiser
And realize that I've got

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

It's Iggy Iggz
Uh, what you got?

Smart money, bettin' I'll be better off without you
In no time, I'll be forgettin' all about you
You sayin' that you know but I really, really doubt you
Understand my life is easy when I ain't around you

Iggy Iggy, too biggie to be here stressin'
I'm thinkin' I love the thought of you more than I love your presence
And the best thing now is probably for you to exit
I let you go, let you back, I finally learned my lesson

No half-steppin', either you want it or you just playin'
I'm listenin' to you knowin' I can't believe what you're sayin'
There's a million yous baby boy, so don't be dumb
I got 99 problems but you won't be one
Like what!

One less, one less problem
One less, one less problem

Head in the clouds
Got no weight on my shoulders
I should be wiser
And realize that I've got

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem","['contemporary r&b', 'dance-pop', 'electro house', 'electropop', 'pop', 'r&b']",624.6,9,2014,4.4,99.23,505,75,"{'neg': 0.20700000000000002, 'neu': 0.706, 'pos': 0.08600000000000001, 'compound': -0.9963000000000001}",Problem,0.9,Ariana Grande,32,52
8,"Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me

Why am I so emotional?
No it's not a good look, gain some self control
And deep down I know this never works
But you can lay with me so it doesn't hurt

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me","['alternative r&b', 'blue-eyed soul', 'pop', 'pop soul', 'synth funk']",172.8,10,2014,4.4,107.69,164,24,"{'neg': 0.108, 'neu': 0.673, 'pos': 0.219, 'compound': 0.9831000000000001}",Stay With Me,-0.30000000000000004,Sam Smith,4,16
79,"Hey, Macklemore, can we go thrift shopping?

What? What? What? What?
What? What? What? What?
What? What? What? What?
What? What? What? What?
What? What? What? What?
What? What? What? What?
What? What? What? What?
What? What? What? What?

Ow, ow, ow

I'm gonna pop some tags
Only got twenty dollars in my pocket
I'm, I'm, I'm hunting, looking for a come up
This is fucking awesome

Now, walk into the club like ""What up? I got a big cock!""
Nah, I'm just pumped, bought some shit from a thrift shop (Ho!)
Ice on the fringe is so damn frosty
The people like ""Damn, that's a cold-ass honky!""

Rolling in hella deep, headed to the mezzanine
Dressed in all pink except my gator shoes, those are green (Ho!)
Draped in a leopard mink, girl standing next to me
Probably shoulda washed this, smells like R. Kelly's sheets (Piss)
But shit, it was ninety-nine cents!

Bag it, copping it, washing it, 'bout to go and get some compliments
Passing up on those moccasins someone else been has walking in
Bummy and grudgy, fucking it, I am stunting and flossing and
Saving my money and I'm hella happy, that's a bargain, bitch

Imma take your grandpa's style
Imma take your grandpa's style
No for real, ask your grandpa
Can I have his hand-me-downs? (Thank you!)

Velour jumpsuit and some house slippers
Dookie brown leather jacket that I found, dig it
They had a broken keyboard, I bought a broken keyboard
I bought a skeet blanket, then I bought a knee board (Ho!)

Hello, hello, my ace man, my Mello
John Wayne ain't got nothing on my fringe game, hell no
I could take some Pro Wings, make them cool, sell those
The sneaker heads would be like ""Ah, he got the Velcros!"" (Ho!)

I'm gonna pop some tags
Only got twenty dollars in my pocket (Ho!)
I'm, I'm, I'm hunting, looking for a come up
This is fucking awesome

Ow, ow
I'm gonna pop some tags
Only got twenty dollars in my pocket (Ho!)
I'm, I'm, I'm hunting, looking for a come up
This is fucking awesome

What you know about rocking a wolf on your noggin?
What you knowing about wearing a fur fox skin? (Ho!)
I'm digging, I'm digging, I'm searching right through that luggage
One man's trash, that's another man's come up (Ho!)

Thank your granddad for donating that plaid button-
Up shirt, 'cause right now, I'm up in here stuntin'
I'm at the Goodwill, you can find me in the (Uptons)
I'm that, I'm that sucker searching in this section (Uptons)

Your grammy, your aunty, your momma, your mammy
I'll take those flannel zebra jammies, secondhand and rock that motherfucker
The built-in onesie with the socks on that motherfucker
I hit the party and they stop in that motherfucker (Ho!)

They be like ""Oh that Gucci, that's hella tight!""
I'm like ""Yo, that's fifty dollars for a t-shirt!""
Limited edition, let's do some simple addition
Fifty dollars for a t-shirt, that's just some ignorant bitch shit
I call that getting swindled and pimped, shit
I call that getting tricked by a business (Ho!)
That shirt's hella dough
And having the same one as six other people in this club is a hella don't (Ho!)
Peep game, come take a look through my telescope
Trying to get girls from a brand, man, you hella won't (Ho!)
Man, you hella won't

Ho!

(Goodwill... poppin' tags... yeah)

Ow, ow

I'm gonna pop some tags
Only got twenty dollars in my pocket (Ho!)
I'm, I'm, I'm hunting, looking for a come up
This is fucking awesome (Ho!)

I'll wear your granddad's clothes
I look incredible
I'm in this big ass coat 
From that thrift shop down the road

I wear your granddad's clothes (damn right)
I look incredible (Now, c'mon, man)
I'm in this big ass coat (big ass coat)
From that thrift shop down the road (let's go)

I'm gonna pop some tags
Only got twenty dollars in my pocket (Ho!)
I'm, I'm, I'm hunting, looking for a come up
This is fucking awesome (Ho!)

Ha, ha, ha
Is that your grandma's coat?","['comedy rap', 'conscious hip hop', 'hip hop', 'pop rap', 'west coast hip hop']",867.6,1,2013,5.2,88.74,692,82,"{'neg': 0.106, 'neu': 0.8130000000000001, 'pos': 0.081, 'compound': -0.9684}",Thrift Shop,2.9,Macklemore,102,45
